id;name;tagline;abv;first_brewed;style;description;image_url;size;price
1;Punk IPA;Post Modern Classic;5.6;2007;IPA;A hoppy and refreshing IPA with tropical fruit flavors.;Punk-IPA-500ml.png;500ml;4.50
2;Guinness Draught;Rich and creamy;4.2;1959;Stout;A smooth, velvety stout with a deep flavor and creamy finish.;Guinness-Draught-440ml.png;440ml;3.80
3;Leffe Blonde;Smooth and fruity;6.6;1240;Belgian Ale;A fruity, slightly spiced ale with a refreshing finish.;Leffe-Blonde-330ml.png;330ml;3.20
4;Sierra Nevada Pale Ale;The Original Craft Beer;5.0;1980;Pale Ale;A balanced pale ale with piney and grapefruit aromas.;Sierra-Nevada-Pale-Ale-355ml.png;355ml;3.90
5;Hoegaarden White;Naturally Cloudy;4.9;1445;Witbier;A wheat beer with hints of coriander and orange peel.;Hoegaarden-White-330ml.png;330ml;2.90
6;Heineken;Refreshingly Crisp;5.0;1873;Lager;A light and crisp lager with a slight hop bitterness.;Heineken-500ml.png;500ml;3.50
7;Chimay Blue;Grande Reserve;9.0;1956;Belgian Strong Ale;A strong ale with rich, complex flavors of dark fruit and spices.;Chimay-Blue-330ml.png;330ml;4.80
8;Budweiser;The King of Beers;5.0;1876;Lager;A classic American lager with a clean and crisp taste.;Budweiser-500ml.png;500ml;3.20
9;Weihenstephaner Hefeweissbier;Oldest Brewery in the World;5.4;1040;Hefeweizen;A traditional German wheat beer with banana and clove notes.;Weihenstephaner-Hefeweissbier-500ml.png;500ml;4.00
10;Stone IPA;A true classic;6.9;1997;IPA;A bold IPA with citrus and pine flavors and a strong hop bitterness.;Stone-IPA-355ml.png;355ml;4.20
11;Kronenbourg 1664;French elegance;5.5;1952;Pale Lager;A balanced lager with floral and citrus notes.;Kronenbourg-1664-500ml.png;500ml;3.60
12;Delirium Tremens;Strong and bold;8.5;1989;Belgian Ale;A strong ale with fruity and spicy flavors, and a dry finish.;Delirium-Tremens-330ml.png;330ml;4.50
13;Beck's;German quality;5.0;1873;Pilsner;A classic German pilsner with a crisp finish and hop bitterness.;Beck's-500ml.png;500ml;3.40
14;Corona Extra;La Cerveza Mas Fina;4.5;1925;Pale Lager;A light lager with a hint of citrus, often served with a lime wedge.;Corona-Extra-355ml.png;355ml;3.30
15;BrewDog Elvis Juice;Citrus infused;6.5;2016;IPA;An IPA with intense grapefruit and caramel malt flavors.;BrewDog-Elvis-Juice-330ml.png;330ml;4.10
16;Blue Moon Belgian White;A Wheat Beer Brewed with Valencia Orange Peel;5.4;1995;Witbier;A smooth wheat beer with hints of orange peel and coriander.;Blue-Moon-Belgian-White-355ml.png;355ml;3.70
17;Pilsner Urquell;The Original Pilsner;4.4;1842;Pilsner;A crisp and refreshing pilsner with a slightly bitter finish.;Pilsner-Urquell-500ml.png;500ml;3.60
18;Samuel Adams Boston Lager;The American Original;5.0;1985;Lager;A rich, balanced lager with a complex blend of malt and hops.;Samuel-Adams-Boston-Lager-355ml.png;355ml;4.00
19;Newcastle Brown Ale;One and Only;4.7;1927;Brown Ale;A smooth brown ale with caramel and nutty flavors.;Newcastle-Brown-Ale-500ml.png;500ml;3.90
20;La Trappe Tripel;Authentic Trappist Ale;8.0;1983;Tripel;A strong, golden ale with fruity and spicy notes and a dry finish.;La-Trappe-Tripel-330ml.png;330ml;4.70
21;Foster's;Australian for Beer;5.0;1888;Lager;A full-bodied lager with a hint of malt sweetness.;Foster's-500ml.png;500ml;3.30
22;Grolsch Premium Pilsner;Crafted to Refresh;5.0;1615;Pilsner;A classic pilsner with a crisp and refreshing flavor.;Grolsch-Premium-Pilsner-450ml.png;450ml;3.50
23;Erdinger Weissbier;Bavarian Tradition;5.3;1886;Hefeweizen;A refreshing wheat beer with hints of banana and spice.;Erdinger-Weissbier-500ml.png;500ml;4.10
24;Duvel;Heavenly Hoppy;8.5;1871;Belgian Strong Ale;A strong, pale ale with a complex blend of hops and malt.;Duvel-330ml.png;330ml;4.80
25;Peroni Nastro Azzurro;Italian Style;5.1;1963;Pale Lager;A crisp and refreshing Italian lager with a slightly bitter finish.;Peroni-Nastro-Azzurro-330ml.png;330ml;3.50
26;Anchor Steam Beer;San Francisco Original;4.9;1896;California Common;A rich, malty beer with hints of caramel and balanced bitterness.;Anchor-Steam-Beer-330ml.png;330ml;4.60
